view,variant,Elo,Ehi,entries
originalEta,No Correction,2,4,27175
originalEta,No Correction,4,6,250
originalEta,No Correction,6,8,2
originalEta,No Correction,8,10,2
originalEta,No Correction,10,12,0
originalEta,No Correction,12,15,0
originalEta,No Correction,15,20,0
originalEta,No Correction,20,30,0
originalEta,Legacy Constant b-corr,2,4,27175
originalEta,Legacy Constant b-corr,4,6,250
originalEta,Legacy Constant b-corr,6,8,2
originalEta,Legacy Constant b-corr,8,10,2
originalEta,Legacy Constant b-corr,10,12,0
originalEta,Legacy Constant b-corr,12,15,0
originalEta,Legacy Constant b-corr,15,20,0
originalEta,Legacy Constant b-corr,20,30,0
originalEta,CLUS-CP(EA),2,4,27175
originalEta,CLUS-CP(EA),4,6,250
originalEta,CLUS-CP(EA),6,8,2
originalEta,CLUS-CP(EA),8,10,2
originalEta,CLUS-CP(EA),10,12,0
originalEta,CLUS-CP(EA),12,15,0
originalEta,CLUS-CP(EA),15,20,0
originalEta,CLUS-CP(EA),20,30,0
originalEta,Energy/|#eta|-Dep b-correction,2,4,27175
originalEta,Energy/|#eta|-Dep b-correction,4,6,250
originalEta,Energy/|#eta|-Dep b-correction,6,8,2
originalEta,Energy/|#eta|-Dep b-correction,8,10,2
originalEta,Energy/|#eta|-Dep b-correction,10,12,0
originalEta,Energy/|#eta|-Dep b-correction,12,15,0
originalEta,Energy/|#eta|-Dep b-correction,15,20,0
originalEta,Energy/|#eta|-Dep b-correction,20,30,0
originalEta,Energy-Dep b-correction,2,4,27175
originalEta,Energy-Dep b-correction,4,6,250
originalEta,Energy-Dep b-correction,6,8,2
originalEta,Energy-Dep b-correction,8,10,2
originalEta,Energy-Dep b-correction,10,12,0
originalEta,Energy-Dep b-correction,12,15,0
originalEta,Energy-Dep b-correction,15,20,0
originalEta,Energy-Dep b-correction,20,30,0
originalEta,EA-mix,2,4,27175
originalEta,EA-mix,4,6,250
originalEta,EA-mix,6,8,2
originalEta,EA-mix,8,10,2
originalEta,EA-mix,10,12,0
originalEta,EA-mix,12,15,0
originalEta,EA-mix,15,20,0
originalEta,EA-mix,20,30,0
originalEta,PDC-raw,2,4,27175
originalEta,PDC-raw,4,6,250
originalEta,PDC-raw,6,8,2
originalEta,PDC-raw,8,10,2
originalEta,PDC-raw,10,12,0
originalEta,PDC-raw,12,15,0
originalEta,PDC-raw,15,20,0
originalEta,PDC-raw,20,30,0
originalEta,PDC-corr,2,4,27175
originalEta,PDC-corr,4,6,250
originalEta,PDC-corr,6,8,2
originalEta,PDC-corr,8,10,2
originalEta,PDC-corr,10,12,0
originalEta,PDC-corr,12,15,0
originalEta,PDC-corr,15,20,0
originalEta,PDC-corr,20,30,0
fullEta,No Correction,2,4,25281
fullEta,No Correction,4,6,212
fullEta,No Correction,6,8,2
fullEta,No Correction,8,10,2
fullEta,No Correction,10,12,0
fullEta,No Correction,12,15,0
fullEta,No Correction,15,20,0
fullEta,No Correction,20,30,0
fullEta,Legacy Constant b-corr,2,4,25281
